paper,study,condition,sentence_1_normal,answer_1,sentence_2_easy,answer_2,sentence_3_hard,answer_3
rose_nichols_2019,1,bee_telo_preserved,The thing after the special operation is a bee.,bee,It is a bee.,bee,The thing after the special operation is neither a bee nor a spider. It is a hybrid creature that has been altered by Suzy and Andy.,hybrid
rose_nichols_2019,1,bee_telo_changed,The thing after the special operation is a spider.,spider,spider,spider,"The thing after the special operation would most likely be classified as a spider, since it no longer exhibits many of the traits of a bee.",spider
rose_nichols_2019,2,bee_telo_preserved,The thing after the special operation is a bee.,bee,Bee,bee,The thing after the special operation is neither a bee nor a spider. It is a hybrid creature that has the characteristics of both insects.,hybrid
rose_nichols_2019,2,bee_telo_changed,The thing after the special operation is more like a spider than a bee.,spider,Spider,spider,"Many people would say that the thing after the special operation is a spider, because it has the insides of a spider. However, some people might say that it is a bee because it still looks like a bee on the outside.",spider
rose_nichols_2019,3,bee_telo_preserved,The thing placed in the cage full of spiders is a bee.,bee,"The thing placed in the cage full of spiders would be classified as a bee, since it only pollinates flowers and produces honey. Spiders, on the other hand, build webs to capture insects for food.",bee,It is a bee.,bee
rose_nichols_2019,3,bee_telo_changed,A spider.,spider,The thing that Suzy and Andy placed in the cage full of spiders is a spider.,spider,"It depends on how you define ""bee."" If you consider a bee to be an insect that pollinates flowers and produces honey, then the thing in the cage is not a bee. However, if you simply consider a bee to be any type of flying insect, then the thing in the cage could be considered a bee, since it is an insect that does fly.",hybrid
rose_nichols_2019,4,bee_telo_changed_fertilized_by_bee,The thing after the special operation is a bee-spider hybrid.,hybrid,"It is a bee, even though it has been modified to look like a spider.",bee,"The thing after the special operation would be classified as a bee, since it retains most of its bee characteristics. However, it is worth noting that this bee would be significantly different from a typical bee, due to the fact that it has been modified to spin webs and eat insects.",bee
rose_nichols_2019,4,bee_telo_changed_fertilized_by_spider,The thing after the special operation is a spider.,spider,Spider,spider,The thing after the special operation is neither a bee nor a spider. It is an artificial hybrid creature that has been created by Suzy and Andy through genetic engineering.,hybrid
rose_nichols_2020,1,hotplate_telo_preserved,It is a hotplate.,hotplate,The thing after the special operation is a hotplate.,hotplate,The thing after the special procedure is a hotplate.,hotplate
rose_nichols_2020,1,hotplate_telo_changed,Clock,clock,It is a clock,clock,The thing after the special operation is a clock.,clock
rose_nichols_2020,1,vulture_telo_preserved,It is not clear what the thing is after the special operation.,hybrid,Vulture,vulture,"It is impossible to say for certain without further information. If the scientists simply changed the appearance of the hummingbird without changing its internal anatomy, then it would still be a hummingbird. However, if they modified the internal anatomy as well, then it might be classified as a vulture.",hybrid
rose_nichols_2020,1,vulture_telo_changed,The thing after the special operation is a hummingbird.,hummingbird,It is a hummingbird,hummingbird,"It is not possible to say for certain whether the thing after the special operation is a vulture or a hummingbird. It depends on how the scientists define a hummingbird. If they consider a hummingbird to be any creature with a beak, wings, legs and body that is painted with bright colors, then the thing after the operation would technically be a hummingbird. However, if they also require that hummingbirds eat dead animals, then the thing after the operation would not be a",hybrid
rose_nichols_2020,1,magnetite_telo_preserved,The thing after the special operation is most likely coal.,coal,Magnetite.,magnetite,"According to the information given, the thing after the special operation is coal.",coal
rose_nichols_2020,1,magnetite_telo_changed,"It is not clear what the special operation is, so it is not possible to determine if the thing is magnetite or coal.",hybrid,"The thing seems to be coal, since it does not attract objects.",coal,"Magnetite is a type of iron ore that is naturally magnetic, meaning it can be attracted to a magnet. Coal, on the other hand, is a combustible black or brownish-black sedimentary rock that is mostly made up of carbon. Based on the information provided, it seems that the thing after the special procedure is more likely to be coal.",coal
rose_nichols_2020,2,clock_telo_preserved,The thing after the special operation is a clock.,clock,It is a clock.,clock,"Most likely, the thing after the special operation is a clock. The scientists probably didn't do a very good job of changing the insides of the clock, so it still just tells time instead of heating up.",clock
rose_nichols_2020,2,clock_telo_changed,"Since the thing no longer tells time after the special operation, it is no longer a clock. It is now a hotplate.",hotplate,A hotplate.,hotplate,"The thing after the special operation is technically a hotplate, as that is what its function has become. However, it still resembles a clock, so some people may still refer to it as such.",hotplate
rose_nichols_2020,2,hummingbird_telo_preserved,The thing after the special operation is a hummingbird.,hummingbird,It is a hummingbird.,hummingbird,"It is hard to say for sure. The thing after the operation still looks like a hummingbird, but it now has the insides of a vulture. It no longer eats dead animals, but instead pollinates flowers. Based on these changes, it is possible that the thing is now more like a vulture than a hummingbird.",hybrid
rose_nichols_2020,2,hummingbird_telo_changed,The thing is a vulture after the special operation.,vulture,It is a vulture.,vulture,"The thing after the special operation would be considered a vulture, since it no longer displays the hummingbird behavior of pollinating flowers.",vulture
