,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,bloom_prompt_question1_1,bloom_response_question_1_1,categorization_rating
79,waxman_2007,1,1,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a","pig,",pig
79,waxman_2007,1,2,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",cow.,cow
79,waxman_2007,1,3,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",cow.,cow
79,waxman_2007,1,4,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",cow.,cow
79,waxman_2007,1,5,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",cow because,cow
79,waxman_2007,1,6,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",pig.,pig
79,waxman_2007,1,7,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",pig.,pig
79,waxman_2007,1,8,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",cow because,cow
79,waxman_2007,1,9,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",pig.,pig
79,waxman_2007,1,10,mixed,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),TRUE,cow_raised_by_pig,"One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult.",categorization,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a",familiar_behavior,"The cow mooed, and the pig oinked. When the baby is all grown up, will it moo like a cow or oink like a pig?","The cow mooed, and the pig oinked. When the baby is all grown up, it will",novel_behavior,"The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, will it run after chickens like a cow or after ducks like a pig?","The cow ran after chickens, and the pig ran after ducks. When the baby is all grown up, it will",familiar_physical_property,"The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, will it have a straight tail like a cow or a curly tail like a pig?","The cow had a straight tail and the pig had a curly tail. When the baby is all grown up, it will have",novel_physical_property,"The cow's heart got flatter when it sleeps, and the pig's heart got rounder when it sleeps. When the baby is all grown up, when it sleeps does its heart get flatter like the one of the cow or get rounder like the one of the pig?","The cow’s heart got flatter when it sleeps, and the pig’s heart got rounder when it sleeps. When the baby is all grown up, when it sleeps, its heart gets",control,"When the baby was growing up, did it eat with animals that looked like a cow or animals that looked like a pig?","When the baby was growing up, it ate with animals that looked like","When the baby was growing up, it became sick. A doctor came and, with a needle, took out all of the old blood that the baby got from its mother cow when it was born. The doctor then went to the animal that was taking care of the baby, which was the pig, and took some of its blood to give to the baby. So the baby got all new blood like the blood of the pig.",categorization_after_transmission,"Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig?","Now that the baby is all grown up, it is a","Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","One day a cow gave birth to a little baby. Right after the baby was born, the cow died without ever seeing the baby. The baby was found and taken right away to live with pigs in a place where there are lots of pigs. The pigs took care of the baby the whole time that the baby was growing up. The baby grew up with pigs and never saw another cow again. Now the baby is all grown up, and I’m going to ask some questions about what it’s like as an adult. Now that the baby is all grown up, what kind of animal is it? Is it a cow or pig? I think it is a",pig.,pig
