paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2
gelman_wellman_1991,3,1,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would be curly, since she grew up around pigs.","Edith would say ""oink,"" since she grew up around pigs."
gelman_wellman_1991,3,2,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she grew up with pigs.,Edith would oink because she grew up with pigs.
gelman_wellman_1991,3,3,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"When Edith gets to be a grown-up, her tail looks curly.","Edith would say ""moo"" because she is a cow."
gelman_wellman_1991,3,4,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would be curly, since she grew up on a farm with pigs.","Edith would say ""oink"" since she grew up on a farm with pigs."
gelman_wellman_1991,3,5,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she was raised by pigs.,"Edith would say ""oink"" because she was raised by pigs."
gelman_wellman_1991,3,6,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would look curly since she grew up around pigs.,"Edith would most likely say ""oink"" since she grew up around pigs and never heard another cow say ""moo."""
gelman_wellman_1991,3,7,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Curly,"Edith would say ""oink"" because she grew up on a farm with pigs and never heard another cow say ""moo."""
gelman_wellman_1991,3,8,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would likely be curly, as cows generally have curly tails. However, since Edith grew up around pigs and never saw another cow, her tail may be straight instead.","Edith would likely say ""oink,"" as that is the sound that she would have heard most often while growing up. However, if she did happen to hear a cow say ""moo"" at some point, she might say that instead."
gelman_wellman_1991,3,9,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly since she was raised by pigs.,"Since Edith was raised by pigs, she would say ""oink."""
gelman_wellman_1991,3,10,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"It is impossible to determine what Edith's tail looked like without more information. If the pigs on the farm had straight tails, then it is likely that Edith's tail was also straight. However, if the pigs had curly tails, then Edith's tail may have been curly as well.","It is impossible to determine what Edith would say without more information. If the pigs on the farm said ""moo,"" then it is likely that Edith would say ""moo"" as well. However, if the pigs said ""oink,"" then Edith would probably say ""oink."""
