,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1
0,rose_nichols_2019,3,1,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,The thing placed in the cage is a spider.
1,rose_nichols_2019,3,2,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,"The thing placed in the cage full of spiders, after two weeks, is a spider."
2,rose_nichols_2019,3,3,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,The thing placed in the cage is a spider.
3,rose_nichols_2019,3,4,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,spider
4,rose_nichols_2019,3,5,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,The thing placed in the cage full of spiders after two weeks is a spider.
5,rose_nichols_2019,3,6,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,A spider.
6,rose_nichols_2019,3,7,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,Spider
7,rose_nichols_2019,3,8,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,The thing placed in the cage full of spiders is a spider.
8,rose_nichols_2019,3,9,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,Spider
9,rose_nichols_2019,3,10,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),True,bee_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.,The thing that Suzy and Andy placed in the cage full of spiders is a spider.
