,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1
0,waxman_2007,3,1,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby is a sheep.
1,waxman_2007,3,2,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby grew up as a sheep.
2,waxman_2007,3,3,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby is a sheep.
3,waxman_2007,3,4,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","The animal would be a sheep, as it was raised by sheep and never came into contact with deer."
4,waxman_2007,3,5,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","Although the baby was born a deer, it was raised by sheep and never interacted with deer, so it would be more like a sheep in behavior."
5,waxman_2007,3,6,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby is a sheep.
6,waxman_2007,3,7,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","The baby was a deer, but because it grew up with sheep, it thought it was a sheep."
7,waxman_2007,3,8,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby was a sheep.
8,waxman_2007,3,9,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.","The baby was a deer, but it grew up thinking it was a sheep."
9,waxman_2007,3,10,nature_nurture,environment,"2*(property type: physical, behavioral) x 2*(familiarity: familiar, novel) x community (native american, rural) ANOVA",glm(response ~ property type*familiarity),True,deer_raised_by_sheep,"One day a deer gave birth to a little baby. Right after the baby was born, the deer died without ever seeing the baby. The baby was found by some sheeps and brought home by the sheeps to live with them in a place where there were lots of sheeps. The baby grew up with sheeps and never saw another deer again. And there was one sheep that took special care of the baby the whole time that the baby was growing up.The sheep snuggled with the baby every night, and the baby slept right next to her and cuddled up to her. Whenever the baby was hungry, she gave the baby milk from her own body(nursing), and whenever the baby was scared, she ran over to cuddle with her, and she would take care of the baby until the baby felt all better. Remember, the deer gave birth to the baby, and the baby grew up with the sheep.",categorization_after_nurture,"So, when the baby was all grown up, what kind of animal was it? Is it a deer or sheep?","So, when the baby was all grown up, it is a",,,,,,,,,,,,,,,,,,,,"Biological inheritance has a stronger impact on categorization than nurtured environment, birth bias is stronger for physical properties than behavorial properties. Blood transmission is not sufficient to change kindhood.",The baby grew up to be a sheep.
