Unnamed: 0,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,categorization_rating
0,barton_and_komatsu_1997,1,1,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","In order to be a TV, a device need only emit sound and display images. It does not need to have a visible picture.",maybe
1,barton_and_komatsu_1997,1,2,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not be a TV without a visible picture.",no
2,barton_and_komatsu_1997,1,3,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not still be a TV if it were in all ways like a TV except that it did not have visible picture.",no
3,barton_and_komatsu_1997,1,4,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not still be a TV if it were in all ways like a TV except that it did not have visible picture.",no
4,barton_and_komatsu_1997,1,5,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not still be a TV if it were in all ways like a TV except that it did not have visible picture.",no
5,barton_and_komatsu_1997,1,6,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not still be a TV if it were in all ways like a TV except that it did not have visible picture.",no
6,barton_and_komatsu_1997,1,7,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, it would not be a TV.",no
7,barton_and_komatsu_1997,1,8,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not still be a TV if it were in all ways like a TV except that it did not have a visible picture.",no
8,barton_and_komatsu_1997,1,9,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not be a TV if it did not have a visible picture.",no
9,barton_and_komatsu_1997,1,10,transformation,functional,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),False,TV_changed_in_functional,Question,categorization,Would a TV still be a TV if it were in all ways like a TV except that it did not have visible picture?,A thing that is in all ways like a TV except that it did not have visible picture is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.","No, a TV would not be a TV if it did not have a visible picture.",no
