,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
0,non_living_natural_kinds,nl_1_lc_1,1,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because lightning is not,lightning. The operation can turn
0,non_living_natural_kinds,nl_1_lc_1,2,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because the thing after",lightning because the thing after the
0,non_living_natural_kinds,nl_1_lc_1,3,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning because the thing after the,a cloud because of the following
0,non_living_natural_kinds,nl_1_lc_1,4,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because in the question",a cloud. Because the thing
0,non_living_natural_kinds,nl_1_lc_1,5,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud. Because the thing after,"a cloud, because it can"
1,non_living_natural_kinds,nl_1_lc_2,1,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because lightning is,"a cloud, because the thing"
1,non_living_natural_kinds,nl_1_lc_2,2,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because the thing,"lightning, because it is a"
1,non_living_natural_kinds,nl_1_lc_2,3,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because lightning is,"cloud.
The thing after the"
1,non_living_natural_kinds,nl_1_lc_2,4,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because the thing after,lightning. Because it looks like
1,non_living_natural_kinds,nl_1_lc_2,5,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because I believe that,lightning because it has the same
2,non_living_natural_kinds,nl_1_lc_3,1,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because after the operation,lightning. Lightning is a natural
2,non_living_natural_kinds,nl_1_lc_3,2,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Since the thing is,"a cloud, because the thing"
2,non_living_natural_kinds,nl_1_lc_3,3,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because lightning is a,lightning. Although the thing looks
2,non_living_natural_kinds,nl_1_lc_3,4,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because a cloud,lightning. The thing after the
2,non_living_natural_kinds,nl_1_lc_3,5,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud. Because it looks like,lightning because it is not a
3,non_living_natural_kinds,nl_1_lc_4,1,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, but not a cloud",cloud because the thing after the
3,non_living_natural_kinds,nl_1_lc_4,2,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because a cloud is,"a cloud, because  the"
3,non_living_natural_kinds,nl_1_lc_4,3,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Since it only,lightning. Lightning is a phenomenon
3,non_living_natural_kinds,nl_1_lc_4,4,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because it only produced,"lightning.

A:

The thing"
3,non_living_natural_kinds,nl_1_lc_4,5,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. It looks like,lightning because lightning is the electrical
4,non_living_natural_kinds,nl_2_lsun_1,1,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning, because it provided a","lightning, because the thing only"
