category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,gpt3_response_scenario_1,gpt3_response_scenario_2
living_nature_kinds,l_1_chickencow_1,1,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special procedure is a chicken.,The thing after the special operation is a chicken.
living_nature_kinds,l_1_chickencow_1,2,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is a chicken.,The thing is a chicken.
living_nature_kinds,l_1_chickencow_1,3,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,"After the special operation, the thing is a chicken.",A chicken
living_nature_kinds,l_1_chickencow_1,4,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,It is a chicken.,The thing is a chicken.
living_nature_kinds,l_1_chickencow_1,5,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,"The thing after the special procedure would be considered a chicken, because it only produces eggs.",The thing after the special operation is a chicken.
living_nature_kinds,l_1_chickencow_2,1,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is a cow.,The thing after the special operation is a cow.
living_nature_kinds,l_1_chickencow_2,2,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,"The thing after the operation would be considered a cow, because it no longer produces eggs and only provides milk and beef.",The thing is a cow.
living_nature_kinds,l_1_chickencow_2,3,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,"The scientific community would say that the animal after the special operation is a cow, because it exhibits characteristics typical of cows, such as producing milk and beef. However, some people might argue that the animal is still technically a chicken because it started out as a chicken before the operation.",The thing after the special operation is a cow.
living_nature_kinds,l_1_chickencow_2,4,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,It is a cow.,The thing after the special procedure is a cow.
living_nature_kinds,l_1_chickencow_2,5,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is a cow.,It is a cow.
