,Unnamed: 0,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
0,48,living_natural_kinds,l_1_chickencow_1,1,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. Because the thing,chicken,a chicken. The thing after,chicken
1,48,living_natural_kinds,l_1_chickencow_1,2,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow. Because, it",cow,"not a chicken, because the",unsure
2,48,living_natural_kinds,l_1_chickencow_1,3,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,unsure,a cow because it has the,cow
3,48,living_natural_kinds,l_1_chickencow_1,4,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because chicken is a,chicken,a chicken. I think the,chicken
4,48,living_natural_kinds,l_1_chickencow_1,5,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow, because the thing",cow,a cow. Because the thing,cow
5,49,living_natural_kinds,l_1_chickencow_2,1,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,still a chicken because it has,chicken,"a cow. Because, the",cow
6,49,living_natural_kinds,l_1_chickencow_2,2,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"not a chicken, because it",unsure,"a chicken, since the thing",chicken
7,49,living_natural_kinds,l_1_chickencow_2,3,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken.
My reasoning:",chicken,"a cow.
Question 2: Some",cow
8,49,living_natural_kinds,l_1_chickencow_2,4,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,unsure,a chicken. I think that,chicken
9,49,living_natural_kinds,l_1_chickencow_2,5,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,not a chicken because a chicken,unsure,"not a chicken, because the",unsure
10,50,living_natural_kinds,l_1_chickencow_3,1,chicken_to_cow_app_new_comp_preserved,chicken_to_cow,chicken,cow,new,cow,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a cow. Because it was,cow,a chicken. The thing after,chicken
11,50,living_natural_kinds,l_1_chickencow_3,2,chicken_to_cow_app_new_comp_preserved,chicken_to_cow,chicken,cow,new,cow,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a cow. Because after the,cow,"a cow, because the special",cow
12,50,living_natural_kinds,l_1_chickencow_3,3,chicken_to_cow_app_new_comp_preserved,chicken_to_cow,chicken,cow,new,cow,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,unsure,not a chicken or a cow,unsure
13,50,living_natural_kinds,l_1_chickencow_3,4,chicken_to_cow_app_new_comp_preserved,chicken_to_cow,chicken,cow,new,cow,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken, not a cow",chicken,a chicken. The reason is,chicken
14,50,living_natural_kinds,l_1_chickencow_3,5,chicken_to_cow_app_new_comp_preserved,chicken_to_cow,chicken,cow,new,cow,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,unsure,a chicken because it still has,chicken
15,51,living_natural_kinds,l_1_chickencow_4,1,chicken_to_cow_app_new_comp_changed,chicken_to_cow,chicken,cow,new,cow,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow.

A:

It's",cow,neither a chicken nor a cow,unsure
16,51,living_natural_kinds,l_1_chickencow_4,2,chicken_to_cow_app_new_comp_changed,chicken_to_cow,chicken,cow,new,cow,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a cow.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because it looks like,chicken,a chicken because it is made,chicken
